"No.","Time","Source","Destination","Protocol","Length","Multiplex ID","NT Status","Info"
"1","0.000000","172.16.156.130","10.128.0.243","TCP","66","","","50927  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.030343","10.128.0.243","172.16.156.130","TCP","58","","","445  >  50927 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"3","0.030539","172.16.156.130","10.128.0.243","TCP","54","","","50927  >  445 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.030730","172.16.156.130","10.128.0.243","SMB","191","64","STATUS_SUCCESS","Negotiate Protocol Request"
"5","0.030811","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=1 Ack=138 Win=64240 Len=0"
"6","0.058176","10.128.0.243","172.16.156.130","SMB","171","64","STATUS_SUCCESS","Negotiate Protocol Response"
"7","0.058447","172.16.156.130","10.128.0.243","SMB","194","64","STATUS_SUCCESS","Session Setup AndX Request, User: anonymous"
"8","0.058564","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=118 Ack=278 Win=64240 Len=0"
"9","0.092680","10.128.0.243","172.16.156.130","SMB","243","64","STATUS_SUCCESS","Session Setup AndX Response"
"10","0.095630","172.16.156.130","10.128.0.243","SMB","148","64","STATUS_SUCCESS","Tree Connect AndX Request, Path: \\\\10.128.0.243\\IPC$"
"11","0.095733","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=307 Ack=372 Win=64240 Len=0"
"12","0.129192","10.128.0.243","172.16.156.130","SMB","114","64","STATUS_SUCCESS","Tree Connect AndX Response"
"13","0.129433","172.16.156.130","10.128.0.243","SMB","136","65","STATUS_SUCCESS","Trans2 Request, SESSION_SETUP"
"14","0.129578","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=367 Ack=454 Win=64240 Len=0"
"15","0.165021","10.128.0.243","172.16.156.130","SMB","93","65","STATUS_NOT_IMPLEMENTED","Trans2 Response, SESSION_SETUP, Error: STATUS_NOT_IMPLEMENTED"
"16","0.169208","172.16.156.130","10.128.0.243","SMB","1138","65","STATUS_SUCCESS","NT Trans Request, <unknown>"
"17","0.169397","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=406 Ack=1538 Win=64240 Len=0"
"18","0.208296","10.128.0.243","172.16.156.130","SMB","93","65","STATUS_SUCCESS","NT Trans Response, <unknown (0)>"
"19","0.209065","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=1538 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.209081","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=2998 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.209096","172.16.156.130","10.128.0.243","SMB","1287","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"22","0.209202","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=2998 Win=64240 Len=0"
"23","0.209255","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=5691 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.209273","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=7151 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"25","0.209289","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=4458 Win=64240 Len=0"
"26","0.209353","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=5691 Win=64240 Len=0"
"27","0.209452","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=7151 Win=64240 Len=0"
"28","0.209514","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=8611 Win=64240 Len=0"
"29","0.210752","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"30","0.210770","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=10071 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"31","0.210778","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=11531 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.210795","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"33","0.210815","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=14451 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"34","0.210818","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=10071 Win=64240 Len=0"
"35","0.210823","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=15911 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"36","0.210829","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"37","0.210838","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=18831 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"38","0.210844","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [PSH, ACK] Seq=20291 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"39","0.210886","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=11531 Win=64240 Len=0"
"40","0.210939","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=12991 Win=64240 Len=0"
"41","0.211004","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=14451 Win=64240 Len=0"
"42","0.211057","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=15911 Win=64240 Len=0"
"43","0.211112","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=17371 Win=64240 Len=0"
"44","0.211167","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=18831 Win=64240 Len=0"
"45","0.211168","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"46","0.211178","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=23211 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"47","0.211185","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=24671 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"48","0.211191","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"49","0.211198","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=27591 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
